,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Sterbefälle nach Monaten und Altersgruppen 2000 bis 2015 in Deutschland,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Insgesamt,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lfd.,Jahr,Alter von ... bis,Monate,,,,,,,,,,,,Insgesamt
Nr.,,unter … Jahren,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,
32,2014,85-90 , 14 366 , 13 029 , 14 634 , 13 617 , 12 963 , 12 474 , 13 337 , 12 758 , 12 734 , 13 520 , 13 879 , 15 595 , 162 906 
33,2014,90-95 , 10 089 , 9 378 , 10 413 , 9 913 , 9 429 , 8 956 , 9 555 , 9 134 , 9 389 , 9 752 , 10 038 , 11 328 , 117 374 
34,2014,95 u. mehr , 2 902 , 2 622 , 3 044 , 2 659 , 2 615 , 2 505 , 2 631 , 2 431 , 2 488 , 2 844 , 3 004 , 3 396 , 33 141 
35,2013,Insgesamt , 82 262 , 81 957 , 89 394 , 78 590 , 71 522 , 68 658 , 70 290 , 68 170 , 65 600 , 71 780 , 70 164 , 75 438 , 893 825 
36,2013,0-15 ,  298 ,  290 ,  304 ,  288 ,  278 ,  271 ,  254 ,  262 ,  255 ,  272 ,  243 ,  278 , 3 293 
37,2013,15-30 ,  361 ,  380 ,  398 ,  399 ,  378 ,  347 ,  413 ,  382 ,  368 ,  399 ,  312 ,  337 , 4 474 
38,2013,30-35 ,  219 ,  195 ,  227 ,  196 ,  242 ,  227 ,  209 ,  235 ,  199 ,  184 ,  215 ,  243 , 2 591 
39,2013,35-40 ,  283 ,  296 ,  306 ,  299 ,  292 ,  289 ,  307 ,  293 ,  274 ,  279 ,  261 ,  285 , 3 464 
40,2013,40-45 ,  592 ,  612 ,  620 ,  627 ,  532 ,  555 ,  570 ,  550 ,  541 ,  531 ,  528 ,  553 , 6 811 
41,2013,45-50 , 1 306 , 1 273 , 1 263 , 1 239 , 1 246 , 1 196 , 1 253 , 1 178 , 1 107 , 1 246 , 1 105 , 1 138 , 14 550 
42,2013,50-55 , 2 210 , 2 079 , 2 265 , 2 019 , 2 065 , 1 928 , 1 990 , 1 933 , 1 872 , 1 984 , 2 062 , 1 993 , 24 400 
43,2013,55-60 , 3 125 , 2 974 , 3 164 , 2 849 , 2 782 , 2 612 , 2 691 , 2 746 , 2 599 , 2 754 , 2 665 , 2 859 , 33 820 
44,2013,60-65 , 4 060 , 4 086 , 4 357 , 3 909 , 3 830 , 3 681 , 3 729 , 3 633 , 3 474 , 3 765 , 3 742 , 3 847 , 46 113 
45,2013,65-70 , 4 888 , 4 868 , 5 173 , 4 522 , 4 491 , 4 251 , 4 402 , 4 214 , 4 071 , 4 431 , 4 261 , 4 589 , 54 161 
46,2013,70-75 , 8 973 , 8 739 , 9 285 , 8 408 , 7 852 , 7 797 , 7 913 , 7 697 , 7 255 , 7 823 , 7 729 , 8 097 , 97 568 
47,2013,75-80 , 11 663 , 11 383 , 12 589 , 11 160 , 10 419 , 10 068 , 10 398 , 10 077 , 9 750 , 10 620 , 10 498 , 11 100 , 129 725 
48,2013,80-85 , 14 497 , 14 288 , 15 338 , 13 677 , 12 438 , 11 722 , 12 105 , 11 449 , 11 103 , 12 209 , 11 818 , 12 842 , 153 486 
49,2013,85-90 , 15 459 , 15 770 , 17 543 , 15 064 , 13 081 , 12 650 , 12 705 , 12 457 , 11 944 , 13 314 , 13 096 , 14 245 , 167 328 
50,2013,90-95 , 10 542 , 10 919 , 12 463 , 10 493 , 8 811 , 8 495 , 8 725 , 8 596 , 8 374 , 9 218 , 8 996 , 10 179 , 115 811 
51,2013,95 u. mehr , 3 786 , 3 805 , 4 099 , 3 441 , 2 785 , 2 569 , 2 626 , 2 468 , 2 414 , 2 751 , 2 633 , 2 853 , 36 230 
52,2012,Insgesamt , 76 895 , 76 507 , 78 204 , 73 434 , 71 270 , 66 589 , 68 391 , 68 472 , 66 100 , 72 543 , 72 469 , 78 708 , 869 582 
53,2012,0-15 ,  286 ,  269 ,  297 ,  267 ,  235 ,  300 ,  284 ,  265 ,  270 ,  261 ,  248 ,  267 , 3 249 
54,2012,15-30 ,  437 ,  402 ,  337 ,  380 ,  388 ,  402 ,  414 ,  410 ,  398 ,  387 ,  339 ,  358 , 4 652 
55,2012,30-35 ,  218 ,  187 ,  201 ,  198 ,  200 ,  215 ,  221 ,  213 ,  167 ,  224 ,  196 ,  211 , 2 451 
56,2012,35-40 ,  292 ,  266 ,  267 ,  269 ,  300 ,  274 ,  296 ,  319 ,  247 ,  265 ,  251 ,  303 , 3 349 
57,2012,40-45 ,  685 ,  575 ,  708 ,  620 ,  635 ,  585 ,  579 ,  600 ,  554 ,  655 ,  632 ,  575 , 7 403 
58,2012,45-50 , 1 355 , 1 228 , 1 293 , 1 253 , 1 255 , 1 184 , 1 184 , 1 202 , 1 207 , 1 246 , 1 244 , 1 239 , 14 890 
59,2012,50-55 , 2 069 , 1 956 , 1 991 , 1 930 , 2 016 , 2 002 , 1 971 , 1 951 , 1 916 , 1 943 , 1 972 , 2 131 , 23 848 
60,2012,55-60 , 2 687 , 2 782 , 2 852 , 2 730 , 2 793 , 2 621 , 2 643 , 2 650 , 2 638 , 2 812 , 2 720 , 2 857 , 32 785 
61,2012,60-65 , 3 932 , 3 755 , 3 786 , 3 642 , 3 593 , 3 566 , 3 643 , 3 558 , 3 448 , 3 690 , 3 805 , 4 029 , 44 447 
62,2012,65-70 , 4 678 , 4 499 , 4 777 , 4 463 , 4 550 , 4 244 , 4 331 , 4 267 , 4 155 , 4 506 , 4 481 , 4 702 , 53 653 
63,2012,70-75 , 8 775 , 8 603 , 8 846 , 8 333 , 8 225 , 7 724 , 8 035 , 7 792 , 7 644 , 8 229 , 8 073 , 8 739 , 99 018 
64,2012,75-80 , 10 436 , 10 446 , 10 827 , 10 156 , 10 102 , 9 165 , 9 532 , 9 813 , 9 286 , 10 357 , 10 316 , 11 073 , 121 509 
65,2012,80-85 , 13 664 , 13 716 , 14 023 , 13 166 , 12 492 , 11 718 , 12 065 , 11 974 , 11 728 , 12 599 , 12 928 , 13 917 , 153 990 
66,2012,85-90 , 14 603 , 14 602 , 14 816 , 13 813 , 13 109 , 12 078 , 12 396 , 12 469 , 12 035 , 13 441 , 13 185 , 14 849 , 161 396 
67,2012,90-95 , 8 972 , 9 250 , 9 334 , 8 701 , 8 304 , 7 722 , 7 866 , 8 036 , 7 620 , 8 819 , 8 965 , 10 070 , 103 659 
68,2012,95 u. mehr , 3 806 , 3 971 , 3 849 , 3 513 , 3 073 , 2 789 , 2 931 , 2 953 , 2 787 , 3 109 , 3 114 , 3 388 , 39 283 
69,2011,Insgesamt , 76 780 , 69 597 , 76 912 , 70 131 , 70 613 , 65 607 , 66 646 , 68 570 , 65 117 , 71 825 , 71 950 , 78 580 , 852 328 
70,2011,0-15 ,  344 ,  286 ,  310 ,  284 ,  273 ,  304 ,  319 ,  314 ,  290 ,  263 ,  290 ,  300 , 3 577 
71,2011,15-30 ,  425 ,  413 ,  416 ,  429 ,  435 ,  418 ,  407 ,  440 ,  409 ,  389 ,  393 ,  416 , 4 990 
72,2011,30-35 ,  219 ,  200 ,  251 ,  245 ,  196 ,  216 ,  205 ,  221 ,  188 ,  217 ,  212 ,  238 , 2 608 
73,2011,35-40 ,  326 ,  297 ,  310 ,  309 ,  286 ,  275 ,  317 ,  320 ,  297 ,  288 ,  241 ,  298 , 3 564 
74,2011,40-45 ,  693 ,  662 ,  708 ,  656 ,  656 ,  605 ,  639 ,  654 ,  724 ,  696 ,  603 ,  652 , 7 948 
75,2011,45-50 , 1 354 , 1 234 , 1 335 , 1 250 , 1 355 , 1 281 , 1 261 , 1 292 , 1 196 , 1 284 , 1 235 , 1 305 , 15 382 
76,2011,50-55 , 2 163 , 1 953 , 2 201 , 1 948 , 2 058 , 1 845 , 1 805 , 1 981 , 1 894 , 2 034 , 2 071 , 2 059 , 24 012 
77,2011,55-60 , 3 020 , 2 731 , 2 879 , 2 619 , 2 909 , 2 653 , 2 702 , 2 700 , 2 583 , 2 797 , 2 793 , 2 750 , 33 136 
78,2011,60-65 , 3 857 , 3 427 , 3 773 , 3 534 , 3 527 , 3 509 , 3 467 , 3 558 , 3 395 , 3 695 , 3 636 , 3 824 , 43 202 
79,2011,65-70 , 5 247 , 4 778 , 5 215 , 4 775 , 4 747 , 4 566 , 4 503 , 4 554 , 4 219 , 4 626 , 4 453 , 4 893 , 56 576 
80,2011,70-75 , 8 786 , 8 124 , 8 894 , 8 151 , 8 392 , 7 744 , 7 847 , 8 151 , 7 638 , 8 439 , 8 246 , 8 975 , 99 387 
81,2011,75-80 , 10 505 , 9 527 , 10 529 , 9 509 , 9 762 , 9 010 , 9 172 , 9 385 , 9 237 , 9 866 , 9 867 , 10 764 , 117 133 
82,2011,80-85 , 13 771 , 12 431 , 13 727 , 12 514 , 12 465 , 11 523 , 11 821 , 12 119 , 11 437 , 12 773 , 12 823 , 14 065 , 151 469 
83,2011,85-90 , 14 552 , 13 015 , 14 584 , 13 188 , 13 116 , 11 988 , 12 296 , 12 492 , 11 882 , 13 226 , 13 439 , 14 848 , 158 626 
84,2011,90-95 , 7 400 , 6 810 , 7 808 , 7 137 , 7 085 , 6 600 , 6 668 , 7 155 , 6 667 , 7 782 , 8 024 , 9 198 , 88 334 
85,2011,95 u. mehr , 4 118 , 3 709 , 3 972 , 3 583 , 3 351 , 3 070 , 3 217 , 3 234 , 3 061 , 3 450 , 3 624 , 3 995 , 42 384 
86,2010,Insgesamt , 77 390 , 71 266 , 76 382 , 69 623 , 70 076 , 67 023 , 73 373 , 67 528 , 66 646 , 71 343 , 69 663 , 78 455 , 858 768 
87,2010,0-15 ,  264 ,  285 ,  301 ,  267 ,  319 ,  303 ,  294 ,  296 ,  290 ,  261 ,  266 ,  339 , 3 485 
88,2010,15-30 ,  435 ,  352 ,  430 ,  449 ,  425 ,  455 ,  509 ,  423 ,  463 ,  409 ,  456 ,  387 , 5 193 
89,2010,30-35 ,  219 ,  177 ,  232 ,  199 ,  218 ,  205 ,  224 ,  221 ,  238 ,  210 ,  193 ,  225 , 2 561 
90,2010,35-40 ,  376 ,  334 ,  343 ,  325 ,  342 ,  328 ,  373 ,  329 ,  315 ,  322 ,  311 ,  330 , 4 028 
91,2010,40-45 ,  797 ,  687 ,  789 ,  744 ,  719 ,  715 ,  717 ,  676 ,  720 ,  688 ,  655 ,  715 , 8 622 
92,2010,45-50 , 1 440 , 1 321 , 1 317 , 1 287 , 1 259 , 1 292 , 1 339 , 1 315 , 1 294 , 1 282 , 1 325 , 1 422 , 15 893 
93,2010,50-55 , 2 152 , 1 887 , 2 080 , 1 963 , 2 019 , 1 909 , 2 012 , 2 024 , 1 945 , 2 077 , 2 004 , 2 046 , 24 118 
94,2010,55-60 , 2 922 , 2 752 , 2 820 , 2 715 , 2 815 , 2 665 , 2 788 , 2 624 , 2 650 , 2 718 , 2 600 , 2 875 , 32 944 
95,2010,60-65 , 3 497 , 3 163 , 3 449 , 3 101 , 3 388 , 3 247 , 3 441 , 3 300 , 3 219 , 3 440 , 3 457 , 3 885 , 40 587 
96,2010,65-70 , 5 841 , 5 439 , 5 618 , 5 247 , 5 249 , 4 966 , 5 389 , 4 971 , 4 912 , 5 156 , 4 810 , 5 541 , 63 139 
97,2010,70-75 , 8 847 , 8 200 , 8 816 , 8 116 , 8 268 , 8 000 , 8 683 , 8 017 , 7 867 , 8 461 , 8 159 , 9 093 , 100 527 
98,2010,75-80 , 10 538 , 9 648 , 10 491 , 9 527 , 9 687 , 9 186 , 9 874 , 9 078 , 9 032 , 9 757 , 9 604 , 10 665 , 117 087 
99,2010,80-85 , 13 963 , 12 924 , 13 918 , 12 617 , 12 443 , 11 971 , 13 232 , 12 083 , 11 844 , 12 785 , 12 585 , 14 254 , 154 619 
100,2010,85-90 , 14 994 , 13 780 , 14 721 , 13 288 , 13 036 , 12 403 , 13 931 , 12 575 , 12 346 , 13 299 , 13 097 , 14 905 , 162 375 
101,2010,90-95 , 6 695 , 6 310 , 6 724 , 6 010 , 6 204 , 5 951 , 6 645 , 6 123 , 6 026 , 6 633 , 6 519 , 7 609 , 77 449 
